t,value
1681858238,82686784
1681858241,100364016
1681858244,109761992
1681858247,109779088
1681858250,109795736
1681858253,109803136
1681858256,109806312
1681858259,109814880
1681858262,109826456
1681858265,109843064
1681858268,109845152
1681858271,113485424
1681858274,115824064
1681858277,117567104
1681858280,117673720
1681858283,117772648
1681858286,117837704
1681858289,117858840
1681858292,117867040
1681858295,118923920
1681858298,120805872
1681858301,121002664
1681858304,121073104
1681858307,121086344
1681858310,121093776
1681858313,121158344
1681858316,121211440
1681858319,121221200
1681858322,121231544
1681858325,121239168
1681858328,121246408
1681858331,121250216
1681858334,121252008
1681858337,121252008
1681858340,121252008
1681858343,121252008
1681858346,121252008
1681858349,121252008
1681858352,121253640
1681858355,121268888
1681858358,121268888
1681858361,121268888
1681858364,121270920
1681858367,121276960
1681858370,122011040
1681858373,122164624
1681858376,124143680
1681858379,124143680
1681858382,124143680
1681858385,124246064
1681858388,124920488
1681858391,124921048
1681858394,124921928
1681858397,124921928
1681858400,124921928
1681858403,124921928
1681858406,124923976
1681858409,124923976
1681858412,124923976
1681858415,124944800
1681858418,124944800
1681858421,124944800
1681858424,124946680
1681858427,124949672
1681858430,124959880
1681858433,124959880
1681858436,124960704
1681858439,124960704
1681858442,124962080
1681858445,124962080
1681858448,124962560
1681858451,124962560
1681858454,124962560
1681858457,124962560
1681858460,124962560
1681858463,124962560
1681858466,124962560
1681858469,124962560
1681858472,124962560
1681858475,124976856
1681858478,124976856
1681858481,124976856
1681858484,124977312
1681858487,124979008
1681858490,124982288
1681858493,124982288
1681858496,124992560
1681858499,124992560
1681858502,124993048
1681858505,124993944
1681858508,124993944
1681858511,124993944
1681858514,124993944
1681858517,124993944
1681858520,124993944
1681858523,124993944
1681858526,124993944
1681858529,124993944
1681858532,124993944
1681858535,125001584
1681858538,125001584
1681858541,125001584
1681858544,125001584
1681858547,125001584
1681858550,125011624
1681858553,125012232
1681858556,125012728
1681858559,125012728
1681858562,125012728
1681858565,125012728
1681858568,125012728
1681858571,125012728
1681858574,125012728
1681858577,125012728
1681858580,125012728
1681858583,125012728
1681858586,125012728
1681858589,125012728
1681858592,125012728
1681858595,125016008
1681858598,125016008
1681858601,125016008
1681858604,125016424
1681858607,125017352
1681858610,125017888
1681858613,125018632
1681858616,125018632
1681858619,125047496
1681858622,125053656
1681858625,125053656
1681858628,125055392
1681858631,125055392
1681858634,125055392
1681858637,125055392
1681858640,125055392
1681858643,125055392
1681858646,125055392
1681858649,125055856
1681858652,125055856
1681858655,125073488
1681858658,125073488
1681858661,125073488
1681858664,125073488
1681858667,125073488
1681858670,125073488
1681858673,125073488
1681858676,125073488
1681858679,125073488
1681858682,125073488
1681858685,125073488
1681858688,125073488
1681858691,125073488
1681858694,125073488
1681858697,125073488
1681858700,125073488
1681858703,125073488
1681858706,125073488
1681858709,125073488
1681858712,125073488
1681858715,125073568
1681858718,125073568
1681858721,125073568
1681858724,125073568
1681858727,125073568
1681858730,125073568
1681858733,125073568
1681858736,125074008
1681858739,125074008
1681858742,125074008
1681858745,125074464
1681858748,125074904
1681858751,125074904
1681858754,125074904
1681858757,125074904
1681858760,125074904
1681858763,125074904
1681858766,125074904
1681858769,125074904
1681858772,125074904
1681858775,125074904
1681858778,125074904
1681858781,125074904
1681858784,125074904
1681858787,125074904
1681858790,125074904
1681858793,125074904
1681858796,125074904
1681858799,125074904
1681858802,125075640
1681858805,125075640
1681858808,125075640
1681858811,125081288
1681858814,125081288
1681858817,125081288
1681858820,125081288
1681858823,125081288
1681858826,125081288
1681858829,125081288
1681858832,125081288
1681858835,125081744
1681858838,125083216
1681858841,125083216
1681858844,125083216
1681858847,125083216
1681858850,125083216
1681858853,125083216
1681858856,125083216
1681858859,125083216
1681858862,125083216
1681858865,125083216
1681858868,125083216
1681858871,125083216
1681858874,125083216
1681858877,125240144
1681858880,125240144
1681858883,125240144
1681858886,125240144
1681858889,125240144
1681858892,125240144
1681858895,125370240
1681858898,125370240
1681858901,125370240
1681858904,125370240
1681858907,125370240
1681858910,125370240
1681858913,125370240
1681858916,125370240
1681858919,125370240
1681858922,125370240
1681858925,125370240
1681858928,125370240
1681858931,125370240
1681858934,125370240
1681858937,125370240
1681858940,125370240
1681858943,125370240
1681858946,125370240
1681858949,125370240
1681858952,125370240
1681858955,125370240
1681858958,125370240
1681858961,125370240
1681858964,125370240
1681858967,125370240
1681858970,125370240
1681858973,125370240
1681858976,125370240
1681858979,125370240
1681858982,125370240
1681858985,125370240
1681858988,125372248
1681858991,125374632
1681858994,125375600
1681858997,125379824
1681859000,125380280
1681859003,125396920
1681859006,125400416
1681859009,125400416
1681859012,125400416
1681859015,125400416
1681859018,125403800
1681859021,125403800
1681859024,125403800
1681859027,125403800
1681859030,125403800
1681859033,125403800
1681859036,125403800
1681859039,125403800
1681859042,125403800
1681859045,125403800
1681859048,125403800
1681859051,125403800
1681859054,125403800
1681859057,125403800
1681859060,125403800
1681859063,125403800
1681859066,125404248
1681859069,125404248
1681859072,125404248
1681859075,125404248
1681859078,125404248
1681859081,125404248
1681859084,125404720
1681859087,125404720
1681859090,125404720
1681859093,125404720
1681859096,125406208
1681859099,125406208
1681859102,125406208
1681859105,125406208
1681859108,125406208
1681859111,125406208
1681859114,125406208
1681859117,125406208
1681859120,125406208
1681859123,125406208
1681859126,125406208
1681859129,125406208
1681859132,125406208
1681859135,125406208
1681859138,125406208
1681859141,125406208
1681859144,125406208
1681859147,125406208
1681859150,125406208
1681859153,125406208
1681859156,125406208
1681859159,125406208
1681859162,125406208
1681859165,125600648
1681859168,125600648
1681859171,125600648
1681859174,125600648
1681859177,125600648
1681859180,125600648
1681859183,125600648
1681859186,125601344
1681859189,125601344
1681859192,125601344
1681859195,125601344
1681859198,125601344
1681859201,125601344
1681859204,125601344
