t,value
1681858238,133
1681858241,133
1681858244,133
1681858247,133
1681858250,133
1681858253,133
1681858256,133
1681858259,1308
1681858262,1440
1681858265,1440
1681858268,1440
1681858271,1440
1681858274,1440
1681858277,1440
1681858280,1440
1681858283,1440
1681858286,1440
1681858289,1440
1681858292,1440
1681858295,1440
1681858298,1440
1681858301,1440
1681858304,1440
1681858307,1440
1681858310,1440
1681858313,1440
1681858316,1440
1681858319,1440
1681858322,1440
1681858325,1440
1681858328,1440
1681858331,1440
1681858334,1440
1681858337,1440
1681858340,1440
1681858343,1440
1681858346,1440
1681858349,1440
1681858352,1440
1681858355,1440
1681858358,1440
1681858361,1440
1681858364,1440
1681858367,1440
1681858370,1440
1681858373,1440
1681858376,1440
1681858379,1440
1681858382,1440
1681858385,1440
1681858388,1440
1681858391,1440
1681858394,1440
1681858397,1440
1681858400,1440
1681858403,1440
1681858406,1440
1681858409,1440
1681858412,1440
1681858415,1440
1681858418,1440
1681858421,1440
1681858424,1440
1681858427,1440
1681858430,1440
1681858433,1440
1681858436,1440
1681858439,1440
1681858442,1440
1681858445,1440
1681858448,1440
1681858451,1440
1681858454,1440
1681858457,1440
1681858460,1440
1681858463,1440
1681858466,1440
1681858469,1440
1681858472,1440
1681858475,1440
1681858478,1440
1681858481,1440
1681858484,1440
1681858487,1440
1681858490,1440
1681858493,1440
1681858496,1440
1681858499,1440
1681858502,1440
1681858505,1440
1681858508,1440
1681858511,1440
1681858514,1440
1681858517,1440
1681858520,1440
1681858523,1440
1681858526,1440
1681858529,1440
1681858532,1440
1681858535,1440
1681858538,1440
1681858541,1440
1681858544,1440
1681858547,1440
1681858550,1440
1681858553,1440
1681858556,1440
1681858559,1440
1681858562,1440
1681858565,1440
1681858568,1440
1681858571,1440
1681858574,1440
1681858577,1440
1681858580,1440
1681858583,1440
1681858586,1440
1681858589,1440
1681858592,1440
1681858595,1440
1681858598,1440
1681858601,1440
1681858604,1440
1681858607,1440
1681858610,1440
1681858613,1440
1681858616,1440
1681858619,1440
1681858622,1440
1681858625,1440
1681858628,1440
1681858631,1440
1681858634,1440
1681858637,1440
1681858640,1440
1681858643,1440
1681858646,1440
1681858649,1440
1681858652,1440
1681858655,1440
1681858658,1440
1681858661,1440
1681858664,1440
1681858667,1440
1681858670,1440
1681858673,1440
1681858676,1440
1681858679,1440
1681858682,1440
1681858685,1440
1681858688,1440
1681858691,1440
1681858694,1440
1681858697,1440
1681858700,1440
1681858703,1440
1681858706,1440
1681858709,1440
1681858712,1440
1681858715,1440
1681858718,1440
1681858721,1440
1681858724,1440
1681858727,1440
1681858730,1440
1681858733,1440
1681858736,1440
1681858739,1440
1681858742,1440
1681858745,1440
1681858748,1440
1681858751,1440
1681858754,1440
1681858757,1440
1681858760,1440
1681858763,1440
1681858766,1440
1681858769,1440
1681858772,1440
1681858775,1440
1681858778,1440
1681858781,1440
1681858784,1440
1681858787,1440
1681858790,1440
1681858793,1440
1681858796,1440
1681858799,1440
1681858802,1440
1681858805,1440
1681858808,1440
1681858811,1440
1681858814,1440
1681858817,1440
1681858820,1440
1681858823,1440
1681858826,1440
1681858829,1440
1681858832,1440
1681858835,1440
1681858838,1440
1681858841,1440
1681858844,1440
1681858847,1440
1681858850,1440
1681858853,1440
1681858856,1440
1681858859,1440
1681858862,1440
