t,value
1681858238,61
1681858241,61
1681858244,65
1681858247,65
1681858250,65
1681858253,65
1681858256,65
1681858259,65
1681858262,65
1681858265,65
1681858268,65
1681858271,65
1681858274,67
1681858277,68
1681858280,68
1681858283,68
1681858286,68
1681858289,68
1681858292,69
1681858295,63
1681858298,62
1681858301,62
1681858304,59
1681858307,59
1681858310,59
1681858313,59
1681858316,59
1681858319,59
1681858322,59
1681858325,59
1681858328,59
1681858331,59
1681858334,59
1681858337,59
1681858340,59
1681858343,59
1681858346,59
1681858349,59
1681858352,59
1681858355,59
1681858358,59
1681858361,59
1681858364,59
1681858367,59
1681858370,60
1681858373,60
1681858376,62
1681858379,62
1681858382,62
1681858385,62
1681858388,62
1681858391,62
1681858394,62
1681858397,62
1681858400,62
1681858403,62
1681858406,62
1681858409,62
1681858412,62
1681858415,62
1681858418,62
1681858421,62
1681858424,62
1681858427,62
1681858430,62
1681858433,62
1681858436,62
1681858439,62
1681858442,62
1681858445,62
1681858448,61
1681858451,61
1681858454,61
1681858457,61
1681858460,61
1681858463,61
1681858466,61
1681858469,61
1681858472,61
1681858475,61
1681858478,61
1681858481,61
1681858484,61
1681858487,61
1681858490,61
1681858493,61
1681858496,61
1681858499,61
1681858502,61
1681858505,61
1681858508,60
1681858511,60
1681858514,60
1681858517,60
1681858520,60
1681858523,60
1681858526,60
1681858529,60
1681858532,60
1681858535,60
1681858538,60
1681858541,60
1681858544,60
1681858547,60
1681858550,60
1681858553,60
1681858556,60
1681858559,60
1681858562,60
1681858565,60
1681858568,59
1681858571,59
1681858574,59
1681858577,59
1681858580,59
1681858583,59
1681858586,59
1681858589,59
1681858592,59
1681858595,59
1681858598,59
1681858601,59
1681858604,59
1681858607,59
1681858610,59
1681858613,59
1681858616,59
1681858619,59
1681858622,59
1681858625,59
1681858628,58
1681858631,58
1681858634,58
1681858637,58
1681858640,58
1681858643,58
1681858646,58
1681858649,58
1681858652,58
1681858655,58
1681858658,58
1681858661,58
1681858664,58
1681858667,58
1681858670,58
1681858673,58
1681858676,58
1681858679,58
1681858682,58
1681858685,58
1681858688,58
1681858691,58
1681858694,58
1681858697,58
1681858700,58
1681858703,58
1681858706,58
1681858709,58
1681858712,58
1681858715,58
1681858718,58
1681858721,58
1681858724,58
1681858727,58
1681858730,58
1681858733,58
1681858736,58
1681858739,58
1681858742,58
1681858745,58
1681858748,58
1681858751,58
1681858754,58
1681858757,58
1681858760,58
1681858763,58
1681858766,58
1681858769,58
1681858772,58
1681858775,58
1681858778,58
1681858781,58
1681858784,58
1681858787,58
1681858790,58
1681858793,58
1681858796,58
1681858799,58
1681858802,58
1681858805,58
1681858808,58
1681858811,58
1681858814,58
1681858817,58
1681858820,58
1681858823,58
1681858826,58
1681858829,58
1681858832,58
1681858835,58
1681858838,58
1681858841,58
1681858844,58
1681858847,58
1681858850,58
1681858853,58
1681858856,58
1681858859,58
1681858862,58
1681858865,58
1681858868,58
1681858871,58
1681858874,58
1681858877,58
1681858880,58
1681858883,58
1681858886,58
1681858889,58
1681858892,58
1681858895,58
1681858898,58
1681858901,58
1681858904,58
1681858907,58
1681858910,58
1681858913,58
1681858916,58
1681858919,58
1681858922,58
1681858925,58
1681858928,58
1681858931,58
1681858934,58
1681858937,58
1681858940,58
1681858943,58
1681858946,58
1681858949,58
1681858952,58
1681858955,58
1681858958,58
1681858961,58
1681858964,58
1681858967,58
1681858970,58
1681858973,58
1681858976,58
1681858979,58
1681858982,58
1681858985,58
1681858988,58
1681858991,58
1681858994,58
1681858997,58
1681859000,58
1681859003,58
1681859006,58
1681859009,58
1681859012,58
1681859015,58
1681859018,58
1681859021,58
1681859024,58
1681859027,58
1681859030,58
1681859033,58
1681859036,58
1681859039,58
1681859042,58
1681859045,58
1681859048,58
1681859051,58
1681859054,58
1681859057,58
1681859060,58
1681859063,58
1681859066,58
1681859069,58
1681859072,58
1681859075,58
1681859078,58
1681859081,58
1681859084,58
1681859087,58
1681859090,58
1681859093,58
1681859096,58
1681859099,58
1681859102,58
1681859105,58
1681859108,58
1681859111,58
1681859114,58
1681859117,58
1681859120,58
1681859123,58
1681859126,58
1681859129,58
1681859132,58
1681859135,58
1681859138,58
1681859141,58
1681859144,58
1681859147,58
1681859150,58
1681859153,58
1681859156,58
1681859159,58
1681859162,58
1681859165,58
1681859168,58
1681859171,58
1681859174,58
1681859177,58
1681859180,58
1681859183,58
1681859186,58
1681859189,58
1681859192,58
1681859195,58
1681859198,58
1681859201,58
1681859204,58
1681859207,58
1681859210,58
1681859213,58
1681859216,58
1681859219,58
1681859222,58
1681859225,58
1681859228,58
1681859231,58
1681859234,58
1681859237,58
1681859240,58
1681859243,58
1681859246,58
1681859249,58
1681859252,58
1681859255,58
1681859258,58
1681859261,58
1681859264,58
1681859267,58
1681859270,58
1681859273,58
1681859276,58
1681859279,58
1681859282,58
1681859285,58
1681859288,58
1681859291,58
1681859294,58
1681859297,58
1681859300,58
1681859303,58
1681859306,58
1681859309,58
1681859312,58
1681859315,58
1681859318,58
1681859321,58
1681859324,58
1681859327,58
1681859330,58
1681859333,58
1681859336,58
1681859339,58
1681859342,58
1681859345,58
1681859348,58
1681859351,58
1681859354,58
1681859357,58
1681859360,58
1681859363,58
1681859366,58
1681859369,58
1681859372,58
1681859375,58
1681859378,58
1681859381,58
1681859384,58
1681859387,58
1681859390,58
1681859393,58
1681859396,58
1681859399,58
1681859402,58
1681859405,58
1681859408,58
1681859411,58
1681859414,58
1681859417,58
1681859420,58
1681859423,58
1681859426,58
1681859429,58
1681859432,58
1681859435,58
1681859438,58
1681859441,58
1681859444,58
1681859447,58
1681859450,58
1681859453,58
1681859456,58
1681859459,58
1681859462,58
1681859465,58
1681859468,58
1681859471,58
1681859474,58
1681859477,58
1681859480,58
1681859483,58
1681859486,58
1681859489,58
1681859492,58
1681859495,58
1681859498,58
1681859501,58
1681859504,58
1681859507,58
1681859510,58
1681859513,58
1681859516,58
1681859519,58
1681859522,58
1681859525,58
1681859528,58
1681859531,58
1681859534,58
1681859537,58
1681859540,58
1681859543,58
1681859546,58
1681859549,58
1681859552,58
1681859555,58
1681859558,58
1681859561,58
1681859564,58
1681859567,58
1681859570,58
1681859573,58
1681859576,58
1681859579,58
1681859582,58
1681859585,58
1681859588,58
1681859591,58
1681859594,58
1681859597,58
1681859600,58
1681859603,58
1681859606,58
1681859609,58
1681859612,58
1681859615,58
1681859618,58
1681859621,58
1681859624,58
1681859627,58
1681859630,58
1681859633,58
1681859636,58
1681859639,58
1681859642,58
1681859645,58
1681859648,58
1681859651,58
1681859654,58
1681859657,58
1681859660,58
1681859663,58
1681859666,58
1681859669,58
1681859672,58
1681859675,58
1681859678,58
1681859681,58
1681859684,58
1681859687,58
1681859690,58
1681859693,58
1681859696,58
1681859699,58
1681859702,58
1681859705,58
1681859708,58
1681859711,58
1681859714,58
1681859717,58
1681859720,58
1681859723,58
1681859726,58
1681859729,58
1681859732,58
1681859735,58
1681859738,58
1681859741,58
1681859744,58
1681859747,58
1681859750,58
1681859753,58
1681859756,58
1681859759,58
1681859762,58
1681859765,58
1681859768,58
1681859771,58
1681859774,58
1681859777,58
1681859780,58
1681859783,58
1681859786,58
1681859789,58
1681859792,58
1681859795,58
1681859798,58
1681859801,58
1681859804,58
1681859807,58
1681859810,58
1681859813,58
1681859816,58
1681859819,58
1681859822,58
1681859825,58
1681859828,58
1681859831,58
1681859834,58
1681859837,58
1681859840,58
1681859843,58
1681859846,58
1681859849,58
1681859852,58
1681859855,58
1681859858,58
1681859861,58
1681859864,58
1681859867,58
1681859870,58
1681859873,58
1681859876,58
1681859879,58
1681859882,58
1681859885,58
1681859888,58
1681859891,58
1681859894,58
1681859897,58
1681859900,58
1681859903,58
1681859906,58
1681859909,58
1681859912,58
1681859915,58
1681859918,58
1681859921,58
1681859924,58
1681859927,58
1681859930,58
1681859933,58
1681859936,58
1681859939,58
1681859942,58
1681859945,58
1681859948,58
1681859951,58
1681859954,58
1681859957,58
1681859960,58
1681859963,58
1681859966,58
1681859969,58
1681859972,58
1681859975,58
1681859978,58
1681859981,58
1681859984,58
1681859987,58
1681859990,58
1681859993,58
1681859996,58
1681859999,58
1681860002,58
1681860005,58
1681860008,58
1681860011,58
1681860014,58
1681860017,58
1681860020,58
1681860023,58
1681860026,58
1681860029,58
1681860032,58
1681860035,58
1681860038,58
1681860041,58
1681860044,58
1681860047,58
1681860050,58
1681860053,58
1681860056,58
1681860059,58
1681860062,58
1681860065,58
1681860068,58
1681860071,58
1681860074,58
1681860077,58
1681860080,58
1681860083,58
1681860086,58
1681860089,58
1681860092,58
1681860095,58
1681860098,58
1681860101,58
1681860104,58
1681860107,58
1681860110,58
1681860113,58
1681860116,58
1681860119,58
1681860122,58
1681860125,58
1681860128,58
1681860131,58
1681860134,58
1681860137,58
1681860140,58
1681860143,58
1681860146,58
1681860149,58
1681860152,58
1681860155,58
1681860158,58
1681860161,58
1681860164,58
1681860167,58
1681860170,58
1681860173,58
1681860176,58
1681860179,58
1681860182,58
1681860185,58
1681860188,58
1681860191,58
1681860194,58
1681860197,58
1681860200,58
1681860203,58
1681860206,58
1681860209,58
1681860212,58
1681860215,58
1681860218,58
1681860221,58
1681860224,58
1681860227,58
1681860230,58
1681860233,58
1681860236,58
1681860239,58
1681860242,58
1681860245,58
1681860248,58
1681860251,58
1681860254,58
1681860257,58
1681860260,58
1681860263,58
1681860266,58
1681860269,58
1681860272,58
1681860275,58
1681860278,58
1681860281,58
1681860284,58
1681860287,58
1681860290,58
1681860293,58
1681860296,58
1681860299,58
1681860302,58
1681860305,58
1681860308,58
1681860311,58
1681860314,58
1681860317,58
1681860320,58
1681860323,58
1681860326,58
1681860329,58
1681860332,58
1681860335,58
