t,value
1681858238,67
1681858241,67
1681858244,71
1681858247,71
1681858250,71
1681858253,71
1681858256,71
1681858259,71
1681858262,71
1681858265,71
1681858268,71
1681858271,71
1681858274,73
1681858277,74
1681858280,74
1681858283,74
1681858286,74
1681858289,74
1681858292,75
1681858295,69
1681858298,68
1681858301,68
1681858304,65
1681858307,65
1681858310,65
1681858313,65
1681858316,65
1681858319,65
1681858322,65
1681858325,65
1681858328,65
1681858331,65
1681858334,65
1681858337,65
1681858340,65
1681858343,65
1681858346,65
1681858349,65
1681858352,65
1681858355,65
1681858358,65
1681858361,65
1681858364,65
1681858367,65
1681858370,66
1681858373,66
1681858376,68
1681858379,68
1681858382,68
1681858385,68
1681858388,68
1681858391,68
1681858394,68
1681858397,68
1681858400,68
1681858403,68
1681858406,68
1681858409,68
1681858412,68
1681858415,68
1681858418,68
1681858421,68
1681858424,68
1681858427,68
1681858430,68
1681858433,68
1681858436,68
1681858439,68
1681858442,68
1681858445,68
1681858448,67
1681858451,67
1681858454,67
1681858457,67
1681858460,67
1681858463,67
1681858466,67
1681858469,67
1681858472,67
1681858475,67
1681858478,67
1681858481,67
1681858484,67
1681858487,67
1681858490,67
1681858493,67
1681858496,67
1681858499,67
1681858502,67
1681858505,67
1681858508,66
1681858511,66
1681858514,66
1681858517,66
1681858520,66
1681858523,66
1681858526,66
1681858529,66
1681858532,66
1681858535,66
1681858538,66
1681858541,66
1681858544,66
1681858547,66
1681858550,66
1681858553,66
1681858556,66
1681858559,66
1681858562,66
1681858565,66
1681858568,65
1681858571,65
1681858574,65
1681858577,65
1681858580,65
1681858583,65
1681858586,65
1681858589,65
1681858592,65
1681858595,65
1681858598,65
1681858601,65
1681858604,65
1681858607,65
1681858610,65
1681858613,65
1681858616,65
1681858619,65
1681858622,65
1681858625,65
1681858628,64
1681858631,64
1681858634,64
1681858637,64
1681858640,64
1681858643,64
1681858646,64
1681858649,64
1681858652,64
1681858655,64
1681858658,64
1681858661,64
1681858664,64
1681858667,64
1681858670,64
1681858673,64
1681858676,64
1681858679,64
1681858682,64
1681858685,64
1681858688,64
1681858691,64
1681858694,64
1681858697,64
1681858700,64
1681858703,64
1681858706,64
1681858709,64
1681858712,64
1681858715,64
1681858718,64
1681858721,64
1681858724,64
1681858727,64
1681858730,64
1681858733,64
1681858736,64
1681858739,64
1681858742,64
1681858745,64
1681858748,64
1681858751,64
1681858754,64
1681858757,64
1681858760,64
1681858763,64
1681858766,64
1681858769,64
1681858772,64
1681858775,64
1681858778,64
1681858781,64
1681858784,64
1681858787,64
1681858790,64
1681858793,64
1681858796,64
1681858799,64
1681858802,64
1681858805,64
1681858808,64
1681858811,64
1681858814,64
1681858817,64
1681858820,64
1681858823,64
1681858826,64
1681858829,64
1681858832,64
1681858835,64
1681858838,64
1681858841,64
1681858844,64
1681858847,64
1681858850,64
1681858853,64
1681858856,64
1681858859,64
1681858862,64
1681858865,64
1681858868,64
1681858871,64
1681858874,64
1681858877,64
1681858880,64
1681858883,64
1681858886,64
1681858889,64
1681858892,64
1681858895,64
1681858898,64
1681858901,64
1681858904,64
1681858907,64
1681858910,64
1681858913,64
1681858916,64
1681858919,64
1681858922,64
1681858925,64
1681858928,64
1681858931,64
1681858934,64
1681858937,64
1681858940,64
1681858943,64
1681858946,64
1681858949,64
1681858952,64
1681858955,64
1681858958,64
1681858961,64
1681858964,64
1681858967,64
1681858970,64
1681858973,64
1681858976,64
1681858979,64
1681858982,64
1681858985,64
1681858988,64
1681858991,64
1681858994,64
1681858997,64
1681859000,64
1681859003,64
1681859006,64
1681859009,64
1681859012,64
1681859015,64
1681859018,64
1681859021,64
1681859024,64
1681859027,64
1681859030,64
1681859033,64
1681859036,64
1681859039,64
1681859042,64
1681859045,64
1681859048,64
1681859051,64
1681859054,64
1681859057,64
1681859060,64
1681859063,64
1681859066,64
1681859069,64
1681859072,64
1681859075,64
1681859078,64
1681859081,64
1681859084,64
1681859087,64
1681859090,64
1681859093,64
1681859096,64
1681859099,64
1681859102,64
1681859105,64
1681859108,64
1681859111,64
1681859114,64
1681859117,64
1681859120,64
1681859123,64
1681859126,64
1681859129,64
1681859132,64
1681859135,64
1681859138,64
1681859141,64
1681859144,64
1681859147,64
1681859150,64
1681859153,64
1681859156,64
1681859159,64
1681859162,64
1681859165,64
1681859168,64
1681859171,64
1681859174,64
1681859177,64
1681859180,64
1681859183,64
1681859186,64
1681859189,64
1681859192,64
1681859195,64
1681859198,64
1681859201,64
1681859204,64
1681859207,64
1681859210,64
1681859213,64
1681859216,64
1681859219,64
1681859222,64
1681859225,64
1681859228,64
1681859231,64
1681859234,64
1681859237,64
1681859240,64
1681859243,64
1681859246,64
1681859249,64
1681859252,64
1681859255,64
1681859258,64
1681859261,64
1681859264,64
1681859267,64
1681859270,64
1681859273,64
1681859276,64
1681859279,64
1681859282,64
1681859285,64
1681859288,64
1681859291,64
1681859294,64
1681859297,64
1681859300,64
1681859303,64
1681859306,64
1681859309,64
1681859312,64
1681859315,64
1681859318,64
1681859321,64
1681859324,64
1681859327,64
1681859330,64
1681859333,64
1681859336,64
1681859339,64
1681859342,64
1681859345,64
1681859348,64
1681859351,64
1681859354,64
1681859357,64
1681859360,64
1681859363,64
1681859366,64
1681859369,64
1681859372,64
1681859375,64
1681859378,64
1681859381,64
1681859384,64
1681859387,64
1681859390,64
1681859393,64
1681859396,64
1681859399,64
1681859402,64
1681859405,64
1681859408,64
1681859411,64
1681859414,64
1681859417,64
1681859420,64
1681859423,64
1681859426,64
1681859429,64
1681859432,64
1681859435,64
1681859438,64
1681859441,64
1681859444,64
1681859447,64
1681859450,64
1681859453,64
1681859456,64
1681859459,64
1681859462,64
1681859465,64
1681859468,64
1681859471,64
1681859474,64
1681859477,64
1681859480,64
1681859483,64
1681859486,64
1681859489,64
1681859492,64
1681859495,64
1681859498,64
1681859501,64
1681859504,64
1681859507,64
1681859510,64
1681859513,64
1681859516,64
1681859519,64
1681859522,64
1681859525,64
1681859528,64
1681859531,64
1681859534,64
1681859537,64
1681859540,64
1681859543,64
1681859546,64
1681859549,64
1681859552,64
1681859555,64
1681859558,64
1681859561,64
1681859564,64
1681859567,64
1681859570,64
1681859573,64
1681859576,64
1681859579,64
1681859582,64
1681859585,64
1681859588,64
1681859591,64
1681859594,64
1681859597,64
1681859600,64
1681859603,64
1681859606,64
1681859609,64
1681859612,64
1681859615,64
1681859618,64
1681859621,64
1681859624,64
1681859627,64
1681859630,64
1681859633,64
1681859636,64
1681859639,64
1681859642,64
1681859645,64
1681859648,64
1681859651,64
1681859654,64
1681859657,64
1681859660,64
1681859663,64
1681859666,64
1681859669,64
1681859672,64
1681859675,64
1681859678,64
1681859681,64
1681859684,64
1681859687,64
1681859690,64
1681859693,64
1681859696,64
1681859699,64
1681859702,64
1681859705,64
1681859708,64
1681859711,64
1681859714,64
1681859717,64
1681859720,64
1681859723,64
1681859726,64
1681859729,64
1681859732,64
1681859735,64
1681859738,64
1681859741,64
1681859744,64
1681859747,64
1681859750,64
1681859753,64
1681859756,64
1681859759,64
1681859762,64
1681859765,64
1681859768,64
1681859771,64
1681859774,64
1681859777,64
1681859780,64
1681859783,64
1681859786,64
1681859789,64
1681859792,64
1681859795,64
1681859798,64
1681859801,64
1681859804,64
1681859807,64
1681859810,64
1681859813,64
1681859816,64
1681859819,64
1681859822,64
1681859825,64
1681859828,64
1681859831,64
1681859834,64
1681859837,64
1681859840,64
1681859843,64
1681859846,64
1681859849,64
1681859852,64
1681859855,64
1681859858,64
1681859861,64
1681859864,64
1681859867,64
1681859870,64
1681859873,64
1681859876,64
1681859879,64
1681859882,64
1681859885,64
1681859888,64
1681859891,64
1681859894,64
1681859897,64
1681859900,64
1681859903,64
1681859906,64
1681859909,64
1681859912,64
1681859915,64
1681859918,64
1681859921,64
1681859924,64
1681859927,64
1681859930,64
1681859933,64
1681859936,64
1681859939,64
1681859942,64
1681859945,64
1681859948,64
1681859951,64
1681859954,64
1681859957,64
1681859960,64
1681859963,64
1681859966,64
1681859969,64
1681859972,64
1681859975,64
1681859978,64
1681859981,64
1681859984,64
1681859987,64
1681859990,64
1681859993,64
1681859996,64
1681859999,64
1681860002,64
1681860005,64
1681860008,64
1681860011,64
1681860014,64
1681860017,64
1681860020,64
1681860023,64
1681860026,64
1681860029,64
1681860032,64
1681860035,64
1681860038,64
1681860041,64
1681860044,64
1681860047,64
1681860050,64
1681860053,64
1681860056,64
1681860059,64
1681860062,64
1681860065,64
1681860068,64
1681860071,64
1681860074,64
1681860077,64
1681860080,64
1681860083,64
1681860086,64
1681860089,64
1681860092,64
1681860095,64
1681860098,64
1681860101,64
1681860104,64
1681860107,64
1681860110,64
1681860113,64
1681860116,64
1681860119,64
1681860122,64
1681860125,64
1681860128,64
1681860131,64
1681860134,64
1681860137,64
1681860140,64
1681860143,64
1681860146,64
1681860149,64
1681860152,64
1681860155,64
1681860158,64
1681860161,64
1681860164,64
1681860167,64
1681860170,64
1681860173,64
1681860176,64
1681860179,64
1681860182,64
1681860185,64
1681860188,64
1681860191,64
1681860194,64
1681860197,64
1681860200,64
1681860203,64
1681860206,64
1681860209,64
1681860212,64
1681860215,64
1681860218,64
1681860221,64
1681860224,64
1681860227,64
1681860230,64
1681860233,64
1681860236,64
1681860239,64
1681860242,64
1681860245,64
1681860248,64
1681860251,64
1681860254,64
1681860257,64
1681860260,64
1681860263,64
1681860266,64
1681860269,64
1681860272,64
1681860275,64
1681860278,64
1681860281,64
1681860284,64
1681860287,64
1681860290,64
1681860293,64
1681860296,64
1681860299,64
1681860302,64
1681860305,64
1681860308,64
1681860311,64
1681860314,64
1681860317,64
1681860320,64
1681860323,64
1681860326,64
1681860329,64
1681860332,64
1681860335,64
1681860338,64
1681860341,64
1681860344,64
1681860347,64
1681860350,64
1681860353,64
1681860356,64
1681860359,64
1681860362,64
1681860365,64
1681860368,64
1681860371,64
1681860374,64
1681860377,64
1681860380,64
1681860383,64
1681860386,64
1681860389,64
1681860392,64
1681860395,64
1681860398,64
1681860401,64
1681860404,64
1681860407,64
1681860410,64
1681860413,64
1681860416,64
1681860419,64
1681860422,64
1681860425,64
1681860428,64
1681860431,64
1681860434,64
1681860437,64
1681860440,64
1681860443,64
1681860446,64
1681860449,64
1681860452,64
1681860455,64
1681860458,64
1681860461,64
1681860464,64
1681860467,64
1681860470,64
1681860473,64
1681860476,64
1681860479,64
1681860482,64
1681860485,64
1681860488,64
1681860491,64
1681860494,64
1681860497,64
1681860500,64
1681860503,64
1681860506,64
1681860509,64
1681860512,64
1681860515,64
1681860518,64
1681860521,64
1681860524,64
1681860527,64
1681860530,64
1681860533,64
1681860536,64
1681860539,64
1681860542,64
1681860545,64
1681860548,64
1681860551,64
1681860554,64
1681860557,64
1681860560,64
1681860563,64
1681860566,64
1681860569,64
1681860572,64
1681860575,64
1681860578,64
1681860581,64
1681860584,64
1681860587,64
1681860590,64
1681860593,64
1681860596,64
1681860599,64
1681860602,64
1681860605,64
1681860608,64
1681860611,64
1681860614,64
1681860617,64
1681860620,64
1681860623,64
1681860626,64
1681860629,64
1681860632,64
1681860635,64
1681860638,64
1681860641,64
1681860644,64
1681860647,64
1681860650,64
1681860653,64
1681860656,64
1681860659,64
1681860662,64
1681860665,64
1681860668,64
1681860671,64
1681860674,64
1681860677,64
1681860680,64
1681860683,64
1681860686,64
1681860689,64
1681860692,64
1681860695,64
1681860698,64
1681860701,64
1681860704,64
1681860707,64
1681860710,64
1681860713,64
1681860716,64
1681860719,64
1681860722,64
1681860725,64
1681860728,64
1681860731,64
1681860734,64
1681860737,64
1681860740,64
1681860743,64
1681860746,64
1681860749,64
1681860752,64
1681860755,64
1681860758,64
1681860761,64
1681860764,64
1681860767,64
1681860770,64
1681860773,64
1681860776,64
1681860779,64
1681860782,64
1681860785,64
1681860788,64
1681860791,64
1681860794,64
1681860797,64
1681860800,64
1681860803,64
1681860806,64
1681860809,64
1681860812,64
1681860815,64
1681860818,64
1681860821,64
1681860824,64
1681860827,64
1681860830,64
1681860833,64
1681860836,64
1681860839,64
1681860842,64
1681860845,64
1681860848,64
1681860851,64
1681860854,64
1681860857,64
1681860860,64
1681860863,64
1681860866,64
1681860869,64
1681860872,64
1681860875,64
1681860878,64
1681860881,64
1681860884,64
1681860887,64
1681860890,64
1681860893,64
1681860896,64
1681860899,64
1681860902,64
1681860905,64
1681860908,64
1681860911,64
1681860914,64
1681860917,64
1681860920,64
1681860923,64
1681860926,64
1681860929,64
1681860932,64
1681860935,64
1681860938,64
1681860941,64
1681860944,64
1681860947,64
1681860950,64
1681860953,64
1681860956,64
1681860959,64
1681860962,64
1681860965,64
1681860968,64
1681860971,64
1681860974,64
1681860977,64
1681860980,64
1681860983,64
1681860986,64
1681860989,64
1681860992,64
1681860995,64
1681860998,64
1681861001,64
1681861004,64
1681861007,64
1681861010,64
1681861013,64
1681861016,64
1681861019,64
1681861022,64
1681861025,64
1681861028,64
1681861031,64
1681861034,64
1681861037,64
1681861040,64
1681861043,64
1681861046,64
1681861049,64
1681861052,64
1681861055,64
1681861058,64
1681861061,64
1681861064,64
1681861067,64
1681861070,64
1681861073,64
1681861076,64
1681861079,64
1681861082,64
1681861085,64
1681861088,64
1681861091,64
1681861094,64
1681861097,64
1681861100,64
1681861103,64
1681861106,64
1681861109,64
1681861112,64
1681861115,64
1681861118,64
1681861121,64
1681861124,64
1681861127,64
1681861130,64
1681861133,64
1681861136,64
1681861139,64
1681861142,64
1681861145,64
1681861148,64
1681861151,64
1681861154,64
1681861157,64
1681861160,64
1681861163,64
1681861166,64
1681861169,64
1681861172,64
1681861175,64
1681861178,64
1681861181,64
1681861184,64
1681861187,64
1681861190,64
1681861193,64
1681861196,64
1681861199,64
1681861202,64
1681861205,64
1681861208,64
1681861211,64
1681861214,64
1681861217,64
1681861220,64
1681861223,64
1681861226,64
1681861229,64
1681861232,64
1681861235,64
1681861238,64
1681861241,64
1681861244,64
1681861247,64
1681861250,64
1681861253,64
1681861256,64
1681861259,64
1681861262,64
1681861265,64
1681861268,64
1681861271,64
1681861274,64
1681861277,64
1681861280,64
1681861283,64
1681861286,64
1681861289,64
1681861292,64
1681861295,64
1681861298,64
1681861301,64
1681861304,64
1681861307,64
1681861310,64
1681861313,64
1681861316,64
1681861319,64
1681861322,64
1681861325,64
1681861328,64
1681861331,64
1681861334,64
1681861337,64
1681861340,64
1681861343,64
1681861346,64
1681861349,64
1681861352,64
1681861355,64
1681861358,64
1681861361,64
1681861364,64
1681861367,64
1681861370,64
1681861373,64
1681861376,64
1681861379,64
1681861382,64
1681861385,64
1681861388,64
1681861391,64
1681861394,64
1681861397,64
1681861400,64
1681861403,64
1681861406,64
1681861409,64
1681861412,64
1681861415,64
1681861418,64
1681861421,64
1681861424,64
1681861427,64
1681861430,64
1681861433,64
1681861436,64
1681861439,64
1681861442,64
1681861445,64
1681861448,64
1681861451,64
1681861454,64
1681861457,64
1681861460,64
1681861463,64
1681861466,64
1681861469,64
1681861472,64
1681861475,64
1681861478,64
1681861481,64
1681861484,64
1681861487,64
1681861490,64
1681861493,64
1681861496,64
1681861499,64
1681861502,64
1681861505,64
1681861508,64
1681861511,64
1681861514,64
1681861517,64
1681861520,64
1681861523,64
1681861526,64
1681861529,64
1681861532,64
1681861535,64
1681861538,64
1681861541,64
1681861544,64
1681861547,64
1681861550,64
1681861553,64
1681861556,64
1681861559,64
1681861562,64
1681861565,64
1681861568,64
1681861571,64
1681861574,64
1681861577,64
1681861580,64
1681861583,64
1681861586,64
1681861589,64
1681861592,64
1681861595,64
1681861598,64
1681861601,64
1681861604,64
1681861607,64
1681861610,64
1681861613,64
1681861616,64
1681861619,64
1681861622,64
1681861625,64
1681861628,64
1681861631,64
1681861634,64
1681861637,64
1681861640,64
1681861643,64
1681861646,64
1681861649,64
1681861652,64
1681861655,64
1681861658,64
1681861661,64
1681861664,64
1681861667,64
1681861670,64
1681861673,64
1681861676,64
1681861679,64
1681861682,64
1681861685,64
1681861688,64
1681861691,64
1681861694,64
1681861697,64
1681861700,64
1681861703,64
1681861706,64
1681861709,64
1681861712,64
1681861715,64
1681861718,64
1681861721,64
1681861724,64
1681861727,64
1681861730,64
1681861733,64
1681861736,64
1681861739,64
1681861742,64
1681861745,64
1681861748,64
1681861751,64
1681861754,64
1681861757,64
1681861760,64
1681861763,64
1681861766,64
1681861769,64
1681861772,64
1681861775,64
1681861778,64
1681861781,64
1681861784,64
1681861787,64
1681861790,64
1681861793,64
1681861796,64
1681861799,64
1681861802,64
1681861805,64
1681861808,64
1681861811,64
1681861814,64
1681861817,64
1681861820,64
1681861823,64
1681861826,64
1681861829,64
1681861832,64
1681861835,64
1681861838,64
1681861841,64
1681861844,64
1681861847,64
1681861850,64
1681861853,64
1681861856,64
1681861859,64
1681861862,64
1681861865,64
1681861868,64
1681861871,64
1681861874,64
1681861877,64
1681861880,64
1681861883,64
1681861886,64
1681861889,64
1681861892,64
1681861895,64
1681861898,64
1681861901,64
1681861904,64
1681861907,64
1681861910,64
1681861913,64
1681861916,64
1681861919,64
1681861922,64
1681861925,64
1681861928,64
1681861931,64
1681861934,64
